title,author,publisher,ISBN,category,date,pages,price,discount_price
Το κόκκινο Αερόστατο | Τεύχος 10$ ΝΕΑ ΠΕΡΙΟΔΟΣ,Κατεβάστε το εκπαιδευτικό υλικό,,,Παιδική & Νεανική Βιβλιοθήκη,Νοέμβριος 2025,36,2.50€,
Μικρές σημαίες,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-547-9,Ελληνική Λογοτεχνία,Οκτώβρης 2025,40,6.00€ , 5.40€
Αταίριαστο βαλς,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-546-2,Ελληνική Λογοτεχνία,Οκτώβρης 2025,352,16.00€ , 14.40€
ΑΛΚΟΟΛ. Από την κοινωνική χρήση έως την εξάρτηση. Όψεις του ζητήματος και οι θέσεις του ΚΚΕ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-545-5,Πολιτική & Κοινωνία,Οκτώβρης 2025,64,6.00€ , 5.40€
Διεθνής Κομμουνιστική Επιθεώρηση #14 Σεπτέμβρης 2025,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,2241-0201,Πολιτική & Κοινωνία,Σεπτέμβρης 2025,120,5.00€,
Αλήθειες και ψέματα για τον καπιταλισμό – 3. Για την εκμετάλλευση,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-544-8,Πολιτική & Κοινωνία,Σεπτέμβρης 2025,112,9.00€ , 8.10€
Το τετράδιό μου,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-543-1,Βιβλία,Σεπτέμβρης 2025,96,6.00€ , 5.40€
Υποδομές – Νερό.  Κοινωνικό αγαθό ή εμπόρευμα;,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-542-4,Πολιτική & Κοινωνία,Σεπτέμβρης 2025,152,10.00€ , 9.00€
ΣΕΤ: Το κόκκινο Αερόστατο 2025 (Τεύχη 6-10),,,,Κόκκινο Αερόστατο,,,10.00€,
ΣΕΤ: Το κόκκινο Αερόστατο 2024 (Τεύχη 1-5),,,,Κόκκινο Αερόστατο,,,10.00€,
Το κόκκινο Αερόστατο | Τεύχος 9$ ΝΕΑ ΠΕΡΙΟΔΟΣ,,,,Κόκκινο Αερόστατο,Αύγουστος 2025,36,2.50€,
22 ΚΕΙΜΕΝΑ ρήξης με την αστική ιδεολογία,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-541-7,Πολιτική & Κοινωνία,Αύγουστος 2025,168,17.00€ , 15.30€
Η ΠΟΛΙΤΙΚΗ ΔΡΑΣΤΗΡΙΟΤΗΤΑ ΤΩΝ ΛΟΓΟΤΕΧΝΩΝ ΤΗ ΔΕΚΑΕΤΙΑ 1930-1940,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-540-0,Πολιτική & Κοινωνία,Αύγουστος 2025,768,22.00€ , 19.80€
Επιχείρηση Τζόυ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-539-4,Ξένη Λογοτεχνία,Ιούλης 2025,416,16.00€ , 14.40€
Ημερολόγια 1941-1948,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-538-7,Πολιτική & Κοινωνία,Ιούλης 2025,384,17.00€ , 15.30€
Πουλιά στη θύελλα,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-537-0,Ελληνική Λογοτεχνία,Ιούλης 2025,536,17.00€ , 15.30€
Ο ακροβάτης σκίουρος,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-536-3,Παιδική & Νεανική Βιβλιοθήκη,Ιούλης 2025,48,16.00€ , 14.40€
Η λογοτεχνία στα χρόνια της θύελλας (1940-1950) / ΕΠΙΣΤΗΜΟΝΙΚΟ ΣΥΝΕΔΡΙΟ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-533-2,Πολιτική & Κοινωνία,Ιούνη 2025,456,20.00€ , 18.00€
Όπως το κέλυφος ενός απέραντου ναυτίλου,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-535-6,Ελληνική Λογοτεχνία,Ιούνης 2025,224,14.00€ , 12.60€
Ντμίτρι Σοστακόβιτς. Για τον ίδιο και την εποχή του,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-224-553-8,Πολιτική & Κοινωνία,Ιούνης 2025(2η έκδοση),456,18.00€ , 14.00€
Σεξουαλικότητα και επανάσταση,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-534-9,Πολιτική & Κοινωνία,Ιούνης 2025,192,10.00€ , 9.00€
Το κόκκινο Αερόστατο | Τεύχος 8$ ΝΕΑ ΠΕΡΙΟΔΟΣ,,,,Κόκκινο Αερόστατο,Ιούνης 2025,36,2.50€,
Η ΟΠΤΙΚΗ ΤΩΝ ΠΑΡΑΝΟΜΩΝ. ΚΚΕ και παρανομία στις δεκαετίες 1940 και 1950. Θεσσαλονίκη και περιφέρεια. Τόμος Α΄& Β΄,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-530-1,Πολιτική & Κοινωνία,Μάης 2025,Τόμ. Α΄: 616$ Τόμ. Β΄: 544,40.00€ , 36.00€
Για το σοσιαλιστικό κράτος. Η Ιστορία που διδάσκει$ η Ιστορία που μένει να γραφτεί,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-529-5,Πολιτική & Κοινωνία,Μάης 2025,144,10.00€ , 9.00€
Επιστημονική Διημερίδα. Η μάχη της ιστορίας: Ταξική χειραφέτηση ή αστική οπισθοδρόμηση;,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-527-1,Πολιτική & Κοινωνία,Μάης 2025,184,11.00€ , 9.90€
Αφιέρωμα Μίκης Θεοδωράκης (1925-2021) // ebook (pdf),ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-528-8,Παιδική & Νεανική Βιβλιοθήκη,Απρίλης 2025,36,0.00€,
Τσαπάγιεφ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-526-4,Ξένη Λογοτεχνία,Απρίλης 2025,384,15.00€ , 13.50€
30 μικρά διηγήματα,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-525-7,Ελληνική Λογοτεχνία,Απρίλης 2025,64,9.00€ , 8.10€
Το κόκκινο Αερόστατο | Τεύχος 7$ Απρίλιος – Μάιος 2025,Κατεβάστε το εκπαιδευτικό υλικό,,,Κόκκινο Αερόστατο,Απρίλης 2025,36,2.50€,
Η αποστολή της νιφάδας στη χώρα της Γελουσίας,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-524-0,Παιδική & Νεανική Βιβλιοθήκη,Μάρτης 2025,104,16.00€ , 14.40€
Ο Β’ Παγκόσμιος Πόλεμος και η Αντιφασιστική Νίκη των Λαών. Ποιος; Πού; Πότε; Γιατί;,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-523-3,Παιδική & Νεανική Βιβλιοθήκη,Μάρτης 2025,136,11.00€ , 9.90€
Ένας στρατηγός βγαίνει από τη ζούγκλα,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-521-9,Ξένη Λογοτεχνία,Μάρτης 2025,392,17.00€ , 15.30€
«Γιατρέ μου$ είμαι… πτώμα!» και άλλα διηγήματα,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-522-6,Ελληνική Λογοτεχνία,Μάρτης 2025,224,12.00€ , 10.80€
Οδηγός. Μάθε$ πάλεψε για τα δικαιώματά σου,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-520-2,Πολιτική & Κοινωνία,Φλεβάρης 2025,64,4.50€ , 4.05€
Πράξεις Πολέμου,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-519-6,Ξένη Λογοτεχνία,Φλεβάρης 2025,336,15.00€ , 13.50€
Το ένδοξο σκοτάδι του Βοτανικού. Μυθιστόρημα της πραγματικότητας,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-518-9,Ελληνική Λογοτεχνία,Φλεβάρης 2025,232,16.00€ , 14.40€
Το κόκκινο Αερόστατο | Τεύχος 6$ Ιανουάριος – Φεβρουάριος 2025,Κατεβάστε το εκπαιδευτικό υλικό,,,Παιδική & Νεανική Βιβλιοθήκη,Γενάρης 2025,36,2.50€,
Αθηνούλα$ πού πάνε τον πατέρα σου οι χωροφύλακες;,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-517-2,Πολιτική & Κοινωνία,Γενάρης 2025,344,15.00€ , 13.50€
Ο Πολιτικός Επίτροπος στο Δημοκρατικό Στρατό Ελλάδας (ΔΣΕ),ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-511-0,Πολιτική & Κοινωνία,Γενάρης 2025,704,28.00€ , 25.20€
Μνημεία και μουσεία αγώνων του λαού,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-516-5,Πολιτική & Κοινωνία,Γενάρης 2025,112,10.00€ , 9.00€
Ο κήπος της ελπίδας,Ειρήνη,Ειρήνη,978-618-879-363-7,Βιβλία άλλων εκδοτών,Νοέμβρης 2025,44,13.90€ , 12.51€
Άσπρος σκύλος$ μαύρος σκύλος,Ειρήνη,Ειρήνη,978-618-874-781-4,Βιβλία άλλων εκδοτών,Δεκέμβρης 2025,386,16.60€ , 14.94€
Όσα πρόλαβα να κάνω,Πυξίδα της πόλης,Πυξίδα της πόλης,,Βιβλία άλλων εκδοτών,Νοέμβρης 2025,296,21.20€ , 19.08€
Κάλεσμ’ Αστραίας,Αλμύρα,Αλμύρα,978-9925-622-10-8,Βιβλία άλλων εκδοτών,Δεκέμβρης 2025,162,15.00€ , 13.50€
Κυπριακή τραγωδία,Αλμύρα,Αλμύρα,978-9925-622-09-2,Βιβλία άλλων εκδοτών,Δεκέμβρης 2025(2η έκδοση),160,13.40€ , 12.06€
